englisch,deutsch,beispiel,notizen
to lock (in),fest vereinbaren,"Wenn man einen Termin, Preis, Umfang oder Beschluss endgültig fixieren will.",
to follow up,nachfassen,Wenn jemand nicht geantwortet hat oder ein Punkt noch offen ist.,
to push forward,voranbringen,"Wenn man aktiv verhindern will, dass etwas stehenbleibt.",
to commit,sich verpflichten,"Wenn man eine klare, verbindliche Zusage braucht.",
to deliver,liefern,"Wenn Ergebnisse, Leistungen oder Versprechen tatsächlich umgesetzt werden müssen.",
to scale,skalieren,Wenn etwas gut funktioniert und man es systematisch ausbauen möchte.,
to close a deal,einen Deal abschließen,Wenn eine Verhandlung kurz vor dem Abschluss steht.,
to launch,starten,"Wenn ein Produkt, Projekt oder Feature offiziell startet.",
momentum,Schwung,"Wenn ein Projekt gut läuft und man verhindern möchte, dass es stockt.",
ownership,Verantwortungsübernahme,Wenn jemand wirklich die Verantwortung trägt und nicht nur mithilft.,
deadline,Frist,Wenn etwas zu einem festen Zeitpunkt fertig sein muss.,
decision-maker,Entscheidungsträger,"Wenn man die Person meint, die letztlich unterschreibt oder entscheidet.",
bottleneck,Engpass,Wenn etwas den ganzen Ablauf verlangsamt oder blockiert.,
execution,Umsetzung,Wenn es um die tatsächliche Durchführung eines Plans geht.,
leverage,etwas strategisch nutzen,"Wenn man etwas Bestehendes nutzt, um bessere Ergebnisse zu erzielen.",
impact,Wirkung,"Wenn man beschreibt, wie stark etwas das Ergebnis verändert.",
rollout,Einführung,Wenn etwas schrittweise veröffentlicht oder verteilt wird.,
timeline,Zeitplan,Wenn man den Ablauf und die Reihenfolge von Aufgaben klärt.,
blocker,Hindernis,Wenn etwas den Fortschritt komplett stoppt.,
scope,Umfang,"Wenn man definiert, was im Projekt enthalten ist und was nicht.",
milestone,Meilenstein,Wenn ein wichtiger Zwischenschritt erreicht werden muss.,
alignment,Abstimmung,"Wenn alle Beteiligten dieselbe Richtung, Infos oder Prioritäten brauchen.",
priority,Priorität,Wenn etwas besonders wichtig oder dringend ist.,
commitment,Verbindlichkeit,"Wenn jemand nicht nur zustimmt, sondern wirklich dahintersteht.",
escalation,Eskalation,"Wenn ein Problem höher gemeldet werden muss, damit etwas passiert.",
deliverable,Arbeitsergebnis,"Wenn klar definiert wird, was konkret erstellt oder geliefert wird.",
follow-through,konsequente Umsetzung,"Wenn etwas nicht nur begonnen, sondern ordentlich zu Ende geführt wird.",
traction,Dynamik,Wenn etwas sichtbar vorankommt oder an Fahrt gewinnt.,
workflow,Ablauf,"Wenn man beschreibt, wie Aufgaben und Infos im System fließen.",
