englisch,deutsch,beispiel,notizen
recruitment,Personalauswahl,Our recruitment process needs to be faster to attract top talent.,
onboarding,Einarbeitung,Good onboarding sets the tone for the entire employee experience.,
feedback,Rückmeldung,Regular feedback helps employees grow and stay aligned.,
promotion,Beförderung,She received a promotion after consistently strong performance.,
salary,Gehalt,We will review your salary during the annual meeting.,
benefits,Leistungen,Our benefits package includes health insurance and flexible hours.,
motivation,Motivation,We need to understand what drives team motivation right now.,
leadership,Führung,Strong leadership is crucial during times of change.,
strengths,Stärken,Let’s focus on your strengths and how we can use them in upcoming projects.,
responsibility,Verantwortung,He’s ready to take on more responsibility.,
performance,Leistung,Her performance this quarter has been outstanding.,
evaluation,Bewertung,The evaluation will take place at the end of the month.,
team dynamics,Teamdynamik,Improving team dynamics will help us work more efficiently.,
engagement,Engagement,Employee engagement is one of our key HR metrics.,
workload,Arbeitsbelastung,We need to balance the workload to avoid burnout.,
remote work,Arbeiten aus der Ferne,Remote work has become a standard option for many roles.,
training,Schulung,The team will attend training next Wednesday.,
professional development,berufliche Weiterentwicklung,Professional development is essential for long-term retention.,
talent management,Talentmanagement,Effective talent management ensures we keep our best people.,
conflict resolution,Konfliktlösung,Conflict resolution requires empathy and clear communication.,
employee retention,Mitarbeiterbindung,Employee retention has improved thanks to new initiatives.,
vacancy,offene Stelle,We have a new vacancy in the marketing department.,
candidate,Bewerber,The candidate has strong communication skills.,
manager,Führungskraft,The manager will review all promotion requests this week.,
