englisch,deutsch,beispiel,notizen
pitch deck,Präsentation für Investoren,"Wenn ein Start-up seine Idee, Zahlen und Vision präsentiert, meist in 10–15 Folien.",
funding round,Finanzierungsrunde,"Wenn ein Start-up Geld von Investoren einsammelt, oft in klar definierten Phasen.",
seed,Frühphasenfinanzierung,"Wenn ein junges Start-up erstes Kapital bekommt, um ein Produkt aufzubauen.",
series A,erste große Investitionsrunde,Wenn ein Start-up nachweisbare Traktion hat und skalieren will.,
investor,Investor,Wenn jemand Kapital gibt und dafür Anteile oder Rendite erwartet.,
valuation,Bewertung des Unternehmens,Wenn der Marktwert oder der erwartete Wert eines Start-ups definiert wird.,
traction,Fortschritt,"Wenn ein Start-up beweisen muss, dass Kunden, Umsatz oder Nutzung steigen.",
scalability,Skalierbarkeit,Wenn ein Geschäftsmodell mit wenig zusätzlichem Aufwand stark wachsen kann.,
equity,Eigenkapital,Wenn Investoren oder Gründer Anteile am Unternehmen halten.,
shares,Anteile,Wenn Beteiligungen in Stücke aufgeteilt dargestellt werden.,
burn rate,monatlicher Geldverbrauch,"Wenn man misst, wie schnell ein Start-up Geld verbrennt.",
exit strategy,Ausstiegsstrategie,"Wenn Gründer und Investoren planen, wie sie später Gewinne realisieren (z. B. Verkauf, IPO).",
runway,Zeit bis zum Geldende,"Wenn man berechnet, wie viele Monate das Unternehmen mit aktuellem Kapital überlebt.",
angel investor,Privatinvestor,"Wenn Einzelpersonen früh investieren, oft mit Erfahrung und Netzwerk.",
venture capital,Risikokapital,"Wenn professionelle Fonds größere Summen investieren, um starkes Wachstum zu ermöglichen.",
term sheet,Bedingungsdokument für Investoren,Wenn die groben Vertragsbedingungen einer Investition festgehalten werden.,
due diligence,Prüfung des Unternehmens,"Wenn Investoren Finanzen, Produkt, Risiken und Team gründlich prüfen.",
cap table,Beteiligungstabelle,"Wenn man detailliert darstellt, wem wie viele Anteile gehören.",
founder,Gründer,"Wenn man die Person beschreibt, die das Unternehmen gestartet hat.",
co-founder,Mitgründer,Wenn mehrere Personen gemeinsam gründen.,
IPO,Börsengang,Wenn ein Unternehmen Aktien an der Börse verkauft und öffentlich handelbar wird.,
bootstrapping,Finanzierung ohne externe Investoren,Wenn Gründer das Geschäft aus eigenen Mitteln oder Einnahmen aufbauen.,
valuation cap,Bewertungsgrenze bei Wandeldarlehen,Wenn bei späterer Wandlung die maximale Unternehmensbewertung festgelegt ist.,
SAFE,Simple Agreement for Future Equity,"Wenn Investoren heute zahlen, aber später Anteile erhalten – ohne klassischen Vertrag.",
ESOP,Mitarbeiterbeteiligungsprogramm,"Wenn Mitarbeiter Anteile oder Optionen erhalten, um langfristig motiviert zu bleiben.",
dilution,Verwässerung der Anteile,Wenn neue Anteile ausgegeben werden und bestehende Anteile prozentual sinken.,
unicorn,Start-up mit Bewertung über einer Milliarde,"Wenn ein sehr seltenes, großes und schnell wachsendes Start-up beschrieben wird.",
