englisch,deutsch,beispiel,notizen
We signed the contract this morning.,Wir haben den Vertrag heute Morgen unterschrieben.,We signed the contract this morning.,Fokus: contract
This clause defines the responsibilities of each party.,Diese Klausel definiert die Verantwortlichkeiten jeder Partei.,This clause defines the responsibilities of each party.,Fokus: clause
Please read the terms carefully before agreeing.,Bitte lesen Sie die Bedingungen sorgfältig bevor Sie zustimmen.,Please read the terms carefully before agreeing.,Fokus: terms
The company accepts no liability for damages.,Das Unternehmen übernimmt keine Haftung für Schäden.,The company accepts no liability for damages.,Fokus: liability
We must ensure full GDPR compliance.,Wir müssen vollständige DSGVO-Konformität sicherstellen.,We must ensure full GDPR compliance.,Fokus: GDPR
We need your consent to process this data.,Wir benötigen Ihre Einwilligung um diese Daten zu verarbeiten.,We need your consent to process this data.,Fokus: consent
The IP created during the project belongs to the company.,Das während des Projekts entstandene geistige Eigentum gehört dem Unternehmen.,The IP created during the project belongs to the company.,Fokus: IP
Compliance is mandatory in all departments.,Die Einhaltung von Vorschriften ist in allen Abteilungen verpflichtend.,Compliance is mandatory in all departments.,Fokus: compliance
The new regulation affects how we store user data.,Die neue Regelung betrifft wie wir Nutzerdaten speichern.,The new regulation affects how we store user data.,Fokus: regulation
Full disclosure is required before approval.,Eine vollständige Offenlegung ist vor der Genehmigung erforderlich.,Full disclosure is required before approval.,Fokus: disclosure
Confidentiality must be maintained at all times.,Vertraulichkeit muss jederzeit gewahrt bleiben.,Confidentiality must be maintained at all times.,Fokus: confidentiality
Please sign the non-disclosure agreement before we proceed.,Bitte unterschreiben Sie die Geheimhaltungsvereinbarung bevor wir fortfahren.,Please sign the non-disclosure agreement before we proceed.,Fokus: non-disclosure agreement
A breach of contract may lead to legal consequences.,Ein Vertragsbruch kann rechtliche Folgen haben.,A breach of contract may lead to legal consequences.,Fokus: breach
The governing law of this agreement is German law.,Das auf diese Vereinbarung anzuwendende Recht ist deutsches Recht.,The governing law of this agreement is German law.,Fokus: governing law
The jurisdiction for disputes is Berlin.,Der Gerichtsstand für Streitigkeiten ist Berlin.,The jurisdiction for disputes is Berlin.,Fokus: jurisdiction
We have a legal obligation to protect customer data.,Wir haben eine rechtliche Verpflichtung Kundendaten zu schützen.,We have a legal obligation to protect customer data.,Fokus: obligation
The contract allows termination with thirty days' notice.,Der Vertrag erlaubt eine Kündigung mit dreißig Tagen Frist.,The contract allows termination with thirty days' notice.,Fokus: termination
There is a penalty for late delivery.,Bei verspäteter Lieferung fällt eine Vertragsstrafe an.,There is a penalty for late delivery.,Fokus: penalty
A risk assessment is required for all new vendors.,Für alle neuen Anbieter ist eine Risikobewertung erforderlich.,A risk assessment is required for all new vendors.,Fokus: risk assessment
Investors are completing their due diligence this week.,Die Kapitalgeber schließen diese Woche ihre Sorgfaltsprüfung ab.,Investors are completing their due diligence this week.,Fokus: due diligence
Data retention rules require us to store records for five years.,Aufbewahrungsregeln verlangen dass wir Unterlagen fünf Jahre speichern.,Data retention rules require us to store records for five years.,Fokus: data retention
The privacy policy explains how we handle personal information.,Die Datenschutzrichtlinie erklärt wie wir personenbezogene Daten behandeln.,The privacy policy explains how we handle personal information.,Fokus: privacy policy
An external audit will be conducted next month.,Eine externe Prüfung wird nächsten Monat durchgeführt.,An external audit will be conducted next month.,Fokus: audit
The system is designed to detect and prevent fraud.,Das System ist darauf ausgelegt Betrug zu erkennen und zu verhindern.,The system is designed to detect and prevent fraud.,Fokus: fraud
