englisch,deutsch,beispiel,notizen
That’s brave.,Das ist riskant.,That’s brave. I wouldn’t recommend presenting it that way to the board.,
Interesting.,Das überzeugt mich nicht.,Interesting. I’m not sure this will work for our timeline.,
Let’s park this.,Vertagen wir das.,Let’s park this and revisit it only if needed.,
Not bad.,Eigentlich gut.,Not bad. This could actually work with a few tweaks.,
With all due respect…,Ich stimme dir nicht zu.,"With all due respect, I see this a bit differently.",
I hear what you are saying.,Ich lehne das ab.,"I hear what you are saying, but that’s not the direction we’re going.",
That’s one way of looking at it.,So sehe ich das nicht.,"That’s one way of looking at it, though there’s another perspective.",
I’m not entirely convinced.,Ich bin dagegen.,I’m not entirely convinced this is the right approach.,
We should revisit this.,Ich halte das für keine gute Idee.,We should revisit this when we have better options.,
I’m sure it’s my fault.,Es ist deine Schuld.,I’m sure it’s my fault for not explaining this earlier.,
We may need to be flexible.,Wir müssen deinen Vorschlag ändern.,We may need to be flexible with your proposal.,
That’s quite good.,Das ist mittelmäßig.,That’s quite good. It still needs some refinement.,
It’s fine.,Es ist nicht fine.,It’s fine. Let’s just move on.,
I’ll keep it in mind.,Ich vergesse das gleich wieder.,"I’ll keep it in mind, but we have other priorities.",
You’ve certainly been busy.,Das ist chaotisch ausgefallen.,You’ve certainly been busy. There’s a lot going on here.,
I’m not sure this is the right moment.,Bitte hör jetzt auf.,I’m not sure this is the right moment to go deeper into this.,
We’ll look into that.,Das passiert erstmal nicht.,We’ll look into that when resources allow.,
Perhaps we should take another route.,Deine Idee funktioniert nicht.,Perhaps we should take another route on this project.,
It’s not ideal.,Es ist schlecht.,"It’s not ideal, so we probably need a different solution.",
I have a few concerns.,Ich habe große Bedenken.,I have a few concerns about the risks involved.,
This might need more thought.,Das solltest du noch einmal gründlich überarbeiten.,This might need more thought before we move forward.,
Thanks for raising that.,Das wollte ich eigentlich nicht hören.,Thanks for raising that. It complicates things a bit.,
It’s an interesting suggestion.,Nein.,"It’s an interesting suggestion, but not the direction we’re taking.",
Let’s come back to that later.,Wahrscheinlich niemals.,Let’s come back to that later if time permits.,
