englisch,deutsch,beispiel,notizen
Our pitch deck explains the idea market numbers and vision.,Unsere Präsentation für Kapitalgeber erklärt Idee Markt Zahlen und Vision.,Our pitch deck explains the idea market numbers and vision.,Fokus: pitch deck
We are preparing for our next funding round.,Wir bereiten uns auf unsere nächste Finanzierungsrunde vor.,We are preparing for our next funding round.,Fokus: funding round
The seed investment helped us build the first version of the product.,Die Frühphasenfinanzierung half uns die erste Produktversion zu bauen.,The seed investment helped us build the first version of the product.,Fokus: seed
We will raise a Series A once we can prove traction.,Wir werden die erste große Finanzierungsrunde aufnehmen sobald wir Traktion nachweisen können.,We will raise a Series A once we can prove traction.,Fokus: series A
The investor wants to see clear growth metrics.,Der Kapitalgeber möchte klare Wachstumskennzahlen sehen.,The investor wants to see clear growth metrics.,Fokus: investor
The valuation increased after we doubled our revenue.,Die Unternehmensbewertung stieg nachdem wir unseren Umsatz verdoppelt hatten.,The valuation increased after we doubled our revenue.,Fokus: valuation
We need stronger traction before talking to larger investors.,Wir brauchen klarere Nachweise für Wachstum bevor wir mit größeren Kapitalgebern sprechen.,We need stronger traction before talking to larger investors.,Fokus: traction
Scalability is essential for our business model.,Skalierbarkeit ist für unser Geschäftsmodell entscheidend.,Scalability is essential for our business model.,Fokus: scalability
The founders still hold most of the equity.,Die Gründer halten noch den größten Teil des Eigenkapitals.,The founders still hold most of the equity.,Fokus: equity
The shares are divided between founders employees and investors.,Die Anteile sind zwischen Gründern Mitarbeitenden und Kapitalgebern aufgeteilt.,The shares are divided between founders employees and investors.,Fokus: shares
Our burn rate is too high for the current funding level.,Unsere monatliche Kapitalverbrennung ist für die aktuelle Finanzierung zu hoch.,Our burn rate is too high for the current funding level.,Fokus: burn rate
The exit strategy depends on market conditions and investor goals.,Die Ausstiegsstrategie hängt von Marktbedingungen und den Zielen der Kapitalgeber ab.,The exit strategy depends on market conditions and investor goals.,Fokus: exit strategy
We have twelve months of runway left.,Wir haben noch zwölf Monate finanziellen Spielraum.,We have twelve months of runway left.,Fokus: runway
An angel investor joined the company in the first year.,Ein privater Frühphasen-Kapitalgeber stieg im ersten Jahr in das Unternehmen ein.,An angel investor joined the company in the first year.,Fokus: angel investor
Venture capital can help us scale much faster.,Risikokapital kann uns helfen deutlich schneller zu skalieren.,Venture capital can help us scale much faster.,Fokus: venture capital
The term sheet defines the key conditions of the investment.,Das Vorvertragsdokument definiert die wichtigsten Bedingungen der Investition.,The term sheet defines the key conditions of the investment.,Fokus: term sheet
Investors started due diligence after the first meeting.,Die Kapitalgeber begannen nach dem ersten Gespräch mit der Sorgfaltsprüfung.,Investors started due diligence after the first meeting.,Fokus: due diligence
The cap table shows who owns which percentage of the company.,Die Beteiligungstabelle zeigt wem welcher Anteil am Unternehmen gehört.,The cap table shows who owns which percentage of the company.,Fokus: cap table
The founder is responsible for product vision and fundraising.,Der Gründer ist für Produktvision und Fundraising verantwortlich.,The founder is responsible for product vision and fundraising.,Fokus: founder
My co-founder leads sales and customer development.,Mein Mitgründer leitet Vertrieb und Kundenentwicklung.,My co-founder leads sales and customer development.,Fokus: co-founder
An IPO would make the company's shares publicly tradable.,Ein Börsengang würde die Aktien des Unternehmens öffentlich handelbar machen.,An IPO would make the company's shares publicly tradable.,Fokus: IPO
Bootstrapping forced us to focus on revenue from day one.,Die Finanzierung aus eigener Kraft zwang uns vom ersten Tag an auf Umsatz zu achten.,Bootstrapping forced us to focus on revenue from day one.,Fokus: bootstrapping
The valuation cap protects early investors in the next round.,Die Bewertungsgrenze schützt frühe Kapitalgeber in der nächsten Runde.,The valuation cap protects early investors in the next round.,Fokus: valuation cap
The SAFE gives investors future equity without a classic loan.,Diese einfache Vereinbarung gibt Kapitalgebern zukünftige Anteile ohne klassisches Darlehen.,The SAFE gives investors future equity without a classic loan.,Fokus: SAFE
An ESOP helps us attract and retain key employees.,Ein Mitarbeiterbeteiligungsprogramm hilft uns wichtige Mitarbeitende zu gewinnen und zu halten.,An ESOP helps us attract and retain key employees.,Fokus: ESOP
Dilution happens when new shares reduce existing ownership percentages.,Verwässerung entsteht wenn neue Anteile bestehende Eigentumsquoten senken.,Dilution happens when new shares reduce existing ownership percentages.,Fokus: dilution
A unicorn is a startup valued at more than one billion.,Ein seltenes sehr hoch bewertetes Jungunternehmen ist mit mehr als einer Milliarde bewertet.,A unicorn is a startup valued at more than one billion.,Fokus: unicorn
