englisch,deutsch,beispiel,notizen
possibly,möglicherweise,We could possibly move the deadline if needed.,
might,könnte,This might work better with a smaller team.,
would you mind,Würde es Ihnen etwas ausmachen,Would you mind sending me the updated file?,
if that’s okay for you,wenn das für Sie in Ordnung ist,We can start at 3 PM if that’s okay for you.,
thanks for the progress,Danke für den Fortschritt,Thanks for the progress. The updates look great.,
we might want to revisit that,Das sollten wir uns vielleicht noch einmal ansehen,We might want to revisit that once we have more data.,
just a quick note,nur ein kurzer Hinweis,Just a quick note before we continue.,
if I may,wenn ich darf,"If I may, I’d like to add a small suggestion.",
if it helps,wenn es hilft,"If it helps, I can draft a first version.",
if that works for you,wenn das für Sie passt,We can move the call to Thursday if that works for you.,
if you don’t mind,wenn es Ihnen nichts ausmacht,"If you don’t mind, I’ll share this with the team.",
would it be possible,Wäre es möglich,Would it be possible to get the file today?,
it might be worth considering,Es wäre vielleicht überlegenswert,It might be worth considering a simpler approach.,
that could be an option,Das könnte eine Option sein,That could be an option if time is limited.,
that might not be ideal,Das ist vielleicht nicht ideal,That might not be ideal given our current workload.,
perhaps we could,vielleicht könnten wir,Perhaps we could combine both ideas.,
I’m not sure if,"Ich bin nicht sicher, ob",I’m not sure if we have enough time for that.,
would it make sense to,Würde es Sinn ergeben zu,Would it make sense to test this first?,
it might be better to,Es wäre vielleicht besser zu,It might be better to wait until tomorrow.,
that sounds reasonable,Das klingt vernünftig,That sounds reasonable. Let’s proceed.,
I see your point,Ich verstehe Ihren Punkt,"I see your point, and I agree.",
I appreciate that,Das weiß ich zu schätzen,I appreciate that. Thank you for the effort.,
I completely understand,Ich verstehe das vollkommen,I completely understand your concern.,
that’s a fair question,Das ist eine berechtigte Frage,That’s a fair question. Here’s the background.,
thanks for your patience,Danke für Ihre Geduld,Thanks for your patience while we sort this out.,
I’m afraid that might be difficult,"Ich befürchte, das könnte schwierig sein",I’m afraid that might be difficult at this stage.,
would that be alright with you,Wäre das für Sie in Ordnung,We can send it tomorrow. Would that be alright with you?,
