englisch,deutsch,beispiel,notizen,wrong
aktuell,currently,"Viele verwechseln es mit 'actually', das aber 'eigentlich' bedeutet.","Business-Kontext","actually"
eventuell,possibly,"Manchmal irrtümlich mit 'eventually' übersetzt, das 'schließlich' heißt.","Zeitlicher Verlauf","eventually"
sensibel,sensitive,"Oft verwechselt mit 'sensible', das 'vernünftig' bedeutet.","Adjektive","sensible"
bekommen,get,"'Become' bedeutet 'werden', nicht 'bekommen'.","Häufiger Fehler","become"
kontrollieren,check,"Häufig falsch als 'control' verwendet, das 'steuern' bedeutet.","Verben","control"
realisieren,implement,"'Realize' bedeutet 'erkennen', nicht 'umsetzen'.","Business-Verben","realize"
Chef,boss,"'Chief' ist ein Titel wie 'Chief Executive Officer', kein allgemeiner Vorgesetzter.","Hierarchie","chief"
Handy,mobile phone,"'Handy' existiert im Englischen, bedeutet dort aber 'praktisch'.","Deutsche Wörter im Englischen","handy"
protokollieren,record,"Oft mit 'protocol' verwechselt, das ein Regelwerk oder technischer Standard ist.","Technische Begriffe","protocol"
konsequent,consistent,"'Consequent' existiert, bedeutet aber 'folgend' oder 'aus etwas resultierend'.","Logisches Denken","consequent"
sympathisch,likeable,"'Sympathetic' bedeutet 'mitfühlend', nicht 'sympathisch'.","Emotionale Begriffe","sympathetic"
beeinflussen,influence,"Oft falsch mit 'affect' oder 'effect' - 'influence' = beeinflussen/Einfluss haben.","Wirkung","affect"
befestigen,attach,"Nicht 'fix' (das ist 'reparieren') - 'attach' = befestigen/anbringen.","Handlungen","fix"
aktiv,active,"Nicht 'actual' - 'active' = aktiv/tätig, 'actual' = tatsächlich/wirklich.","Zustände","actual"
erinnern,remind,"Nicht 'remember' (das ist 'sich erinnern') - 'remind' = jemanden erinnern.","Verben","remember"
erkennen,recognize,"'Recognize' = wiedererkennen, 'realize' = verstehen/umsetzen.","Kognitiv","realize"
Bewerber,applicant,"'Applicant' = Bewerber/Antragsteller in Bewerbungskontext.","Personalwesen","candidate"
Beleg,receipt,"'Receipt' = Quittung/Beleg - nicht 'recite' (vortragen).","Dokumentation","recite"
bewahren,preserve,"Nicht 'behave' (benehmen) - 'preserve' = bewahren/konservieren.","Verben mit Be-","behave"
berechtigt,authorized,"Nicht 'right' - 'authorized' = berechtigt/ermächtigt.","Adjektive","right"
bekräftigen,confirm,"Nicht 'strengthen' - 'confirm' = bestätigen/bekräftigen.","Verben","strengthen"
Beziehung,relationship,"'Relationship' = Beziehung/Verhältnis in all contexts","Sozial","reference"
Dauer,duration,"'Duration' = Dauer/Zeitraum","Zeit","lasting"
Erfolg,success,"'Success' = Erfolg (noun), 'successful' = erfolgreich (adj)","Geschäft","result"
Fabrik,factory,"Nicht 'fabric' - 'factory' = Fabrik/Werk, 'fabric' = Stoff/Material","Industrie","fabric"
überwiegend,mostly,"Nicht 'overwhelming' - 'mostly' = überwiegend/hauptsächlich","Adverbien","overwhelming"
äußern,express,"Nicht 'express' als Person - 'express' = äußern/ausdrücken","Verben","expose"
Geschwindigkeit,speed,"Nicht 'velocity' im alltäglichen Englisch - 'speed' = Geschwindigkeit","Physik","velocity"
Kunsthandwerk,craft,"Nicht 'craft' = Handwerk sondern 'craft' = Kunsthandwerk/Geschicklichkeit","Kunsthandwerk","handcraft"
Auftrag,order,"'Order' = Auftrag/Bestellung - kann verwirrt werden mit 'assignment'","Business","assignment"
