englisch,deutsch,beispiel,notizen
to align,abstimmen,Let’s align on the next steps before we continue.,
to clarify,klären,Let me clarify what I meant earlier.,
to summarize,zusammenfassen,Could you summarize the main points?,
to discuss,besprechen,We need to discuss this in more detail.,
to schedule,planen,Let’s schedule a call for tomorrow.,
to postpone,verschieben,We had to postpone the meeting until next week.,
to follow up,nachfassen,I’ll follow up with the client after the call.,
to agree on,sich einigen auf,We finally agreed on the timeline.,
feedback,Rückmeldung,Thanks for the feedback. It was very helpful.,
topic,Thema,The main topic today is the project deadline.,
agenda,Tagesordnung,The agenda was shared earlier this morning.,
minutes,Protokoll,I’ll send the minutes after the meeting.,
summary,Zusammenfassung,Here’s a quick summary of our discussion.,
outcome,Ergebnis,The outcome was better than expected.,
to confirm,bestätigen,Could you confirm your availability?,
to coordinate,koordinieren,We need to coordinate the teams more closely.,
to highlight,hervorheben,I want to highlight one important detail.,
to emphasize,betonen,I’d like to emphasize the urgency of this task.,
to propose,vorschlagen,I’d like to propose a simpler solution.,
to share,teilen,I’ll share the document with you right away.,
to review,überprüfen,Can you review the draft before Friday?,
to prepare,vorbereiten,We must prepare the slides today.,
to invite,einladen,I’ll invite the whole team to the meeting.,
to present,präsentieren,She will present the results on Monday.,
to contribute,beitragen,Everyone is welcome to contribute their ideas.,
to participate,teilnehmen,Only five people can participate in the workshop.,
to note,notieren,Please note the updated deadline.,
to report,berichten,He will report directly to management.,
to remind,erinnern,Could you remind me later today?,
to respond,antworten,She didn’t respond to the email yet.,
to outline,skizzieren,I’ll outline the strategy in a short document.,
to wrap up,abschließen,Let’s wrap up with a short summary.,
follow-up,Nachverfolgung,We’ll send a follow-up tomorrow.,
meeting notes,Meeting-Notizen,Can you upload the meeting notes?,
action item,Maßnahme,This is the main action item for today.,
key point,Kernpunkt,Let me highlight the key point again.,
main topic,Hauptthema,The main topic is the budget cut.,
side note,Nebenbemerkung,"On a side note, the new tool looks promising.",
next steps,nächste Schritte,Let’s define the next steps together.,
decision,Entscheidung,We need to make a decision by Thursday.,
time slot,Zeitfenster,Is there a time slot that works for you?,
meeting request,Meeting-Anfrage,I just received your meeting request.,
availability,Verfügbarkeit,Please share your availability for next week.,
invite list,Teilnehmerliste,The invite list needs one more name.,
conference call,Telefonkonferenz,The conference call starts at 2 PM.,
attendee,Teilnehmer,Only three attendees are confirmed so far.,
facilitator,Moderator,We still need a facilitator for the workshop.,
recap,Zusammenfassung,Here’s a short recap of the key points.,
alignment meeting,Abstimmungstreffen,We’ll have an alignment meeting tomorrow.,
progress update,Fortschrittsbericht,She will give a progress update shortly.,
meeting objective,Meeting-Ziel,Let’s clarify the meeting objective first.,
agenda item,Tagesordnungspunkt,We added a new agenda item this morning.,
discussion point,Diskussionspunkt,That brings us to our next discussion point.,
closing remark,Schlussbemerkung,Any closing remarks before we end?,
feedback round,Feedbackrunde,Let’s start with a short feedback round.,
action plan,Maßnahmenplan,We need a clear action plan for next week.,
