englisch,deutsch,beispiel,notizen
Our recruitment process needs to be faster to attract top talent.,Unser Einstellungsprozess muss schneller werden um Top-Talente anzuziehen.,Our recruitment process needs to be faster to attract top talent.,Fokus: recruitment
Good onboarding sets the tone for the entire employee experience.,Eine gute Einarbeitung prägt die gesamte Mitarbeitererfahrung.,Good onboarding sets the tone for the entire employee experience.,Fokus: onboarding
Regular feedback helps employees grow and stay aligned.,Regelmäßige Rückmeldung hilft Mitarbeitenden zu wachsen und ausgerichtet zu bleiben.,Regular feedback helps employees grow and stay aligned.,Fokus: feedback
She received a promotion after consistently strong performance.,Sie wurde nach konstant starker Leistung befördert.,She received a promotion after consistently strong performance.,Fokus: promotion
We will review your salary during the annual meeting.,Wir werden Ihr Gehalt im Jahresgespräch überprüfen.,We will review your salary during the annual meeting.,Fokus: salary
Our benefits package includes health insurance and flexible hours.,Unser Leistungspaket umfasst Krankenversicherung und flexible Arbeitszeiten.,Our benefits package includes health insurance and flexible hours.,Fokus: benefits
We need to understand what drives team motivation right now.,Wir müssen verstehen was den Einsatz der Mitarbeitenden gerade antreibt.,We need to understand what drives team motivation right now.,Fokus: motivation
Strong leadership is crucial during times of change.,Starke Führung ist in Zeiten des Wandels entscheidend.,Strong leadership is crucial during times of change.,Fokus: leadership
Let us focus on your strengths and how we can use them.,Lassen Sie uns auf Ihre Stärken schauen und wie wir sie nutzen können.,Let us focus on your strengths and how we can use them.,Fokus: strengths
He is ready to take on more responsibility.,Er ist bereit mehr Verantwortung zu übernehmen.,He is ready to take on more responsibility.,Fokus: responsibility
Her performance this quarter has been outstanding.,Ihre Leistung in diesem Quartal war hervorragend.,Her performance this quarter has been outstanding.,Fokus: performance
The evaluation will take place at the end of the month.,Die Bewertung findet am Ende des Monats statt.,The evaluation will take place at the end of the month.,Fokus: evaluation
Improving team dynamics will help us work more efficiently.,Eine bessere Zusammenarbeit untereinander hilft uns effizienter zu arbeiten.,Improving team dynamics will help us work more efficiently.,Fokus: team dynamics
Employee engagement is one of our key HR metrics.,Die emotionale Bindung der Mitarbeitenden ist eine unserer wichtigsten HR-Kennzahlen.,Employee engagement is one of our key HR metrics.,Fokus: engagement
We need to balance the workload to avoid burnout.,Wir müssen die Arbeitsbelastung ausgleichen um Burnout zu vermeiden.,We need to balance the workload to avoid burnout.,Fokus: workload
Remote work has become a standard option for many roles.,Arbeiten von außerhalb des Büros ist für viele Rollen zur Standardoption geworden.,Remote work has become a standard option for many roles.,Fokus: remote work
The team will attend training next Wednesday.,Das Team nimmt nächsten Mittwoch an einer Schulung teil.,The team will attend training next Wednesday.,Fokus: training
Professional development is essential for long-term retention.,Berufliche Weiterentwicklung ist entscheidend für langfristige Bindung.,Professional development is essential for long-term retention.,Fokus: professional development
Effective talent management helps us keep our best people.,Ein effektiver Umgang mit Talenten hilft uns unsere besten Leute zu halten.,Effective talent management helps us keep our best people.,Fokus: talent management
Conflict resolution requires empathy and clear communication.,Konfliktlösung erfordert Empathie und klare Kommunikation.,Conflict resolution requires empathy and clear communication.,Fokus: conflict resolution
Employee retention has improved thanks to new initiatives.,Die Mitarbeiterbindung hat sich dank neuer Initiativen verbessert.,Employee retention has improved thanks to new initiatives.,Fokus: employee retention
We have a new vacancy in the marketing department.,Wir haben eine neue offene Stelle im Marketing.,We have a new vacancy in the marketing department.,Fokus: vacancy
The candidate has strong communication skills.,Der Bewerber hat starke Kommunikationsfähigkeiten.,The candidate has strong communication skills.,Fokus: candidate
The manager will review all promotion requests this week.,Die Führungskraft prüft diese Woche alle Beförderungsanträge.,The manager will review all promotion requests this week.,Fokus: manager
