englisch,deutsch,beispiel,notizen
support,Unterstützung,Our support team will help you resolve the issue.,
complaint,Beschwerde,We received a complaint regarding the latest update.,
refund,Rückerstattung,You will receive your refund within five business days.,
response,Antwort,We aim to send a response within 24 hours.,
solution,Lösung,We believe this solution should fix the problem.,
follow-up,Nachfassen,I’m sending a follow-up to check if everything works now.,
ticket,Supportfall,Your ticket has been assigned to a support agent.,
customer inquiry,Kundenanfrage,We received a customer inquiry about billing issues.,
escalation,Eskalation,This case requires escalation to the technical team.,
service level,Servicelevel,We always meet our service level agreements.,
resolution time,Lösungszeit,Our goal is to reduce the average resolution time.,
customer satisfaction,Kundenzufriedenheit,Customer satisfaction has improved significantly this month.,
feedback,Rückmeldung,Thank you for your feedback. We’ll pass it on to the team.,
replacement,Ersatz,We will send you a replacement free of charge.,
policy,Richtlinie,"According to our policy, this item cannot be returned.",
apology,Entschuldigung,Please accept our apology for the inconvenience.,
service request,Serviceanfrage,Your service request has been logged successfully.,
issue,Problem,We are working on resolving the issue as quickly as possible.,
case number,Vorgangsnummer,Please include your case number in all correspondence.,
agent,Mitarbeiter im Kundenservice,The agent will contact you shortly.,
support team,Supportteam,Our support team is available around the clock.,
service quality,Servicequalität,We are committed to improving our service quality.,
first response time,erste Antwortzeit,We aim to reduce our first response time to under one hour.,
priority level,Prioritätsstufe,This ticket has been marked with the highest priority level.,
queue,Warteschlange,Your request is currently in the queue.,
