englisch,deutsch,beispiel,notizen
Our support team will help you resolve the issue.,Unser Kundendienst hilft Ihnen das Problem zu lösen.,Our support team will help you resolve the issue.,Fokus: support
We received a complaint regarding the latest update.,Wir haben eine Beschwerde zur letzten Aktualisierung erhalten.,We received a complaint regarding the latest update.,Fokus: complaint
You will receive your refund within five business days.,Sie erhalten Ihre Rückerstattung innerhalb von fünf Werktagen.,You will receive your refund within five business days.,Fokus: refund
We aim to send a response within twenty-four hours.,Wir bemühen uns innerhalb von vierundzwanzig Stunden zu antworten.,We aim to send a response within twenty-four hours.,Fokus: response
We believe this solution should fix the problem.,Wir glauben dass diese Lösung das Problem beheben sollte.,We believe this solution should fix the problem.,Fokus: solution
I am sending a follow-up to check if everything works now.,Ich fasse nach um zu prüfen ob jetzt alles funktioniert.,I am sending a follow-up to check if everything works now.,Fokus: follow-up
Your ticket has been assigned to a support agent.,Ihre Anfrage wurde einem Kundendienstmitarbeiter zugewiesen.,Your ticket has been assigned to a support agent.,Fokus: ticket
We received a customer inquiry about billing issues.,Wir haben eine Kundenanfrage zu Abrechnungsproblemen erhalten.,We received a customer inquiry about billing issues.,Fokus: customer inquiry
This case requires escalation to the technical team.,Dieser Fall muss an das technische Team eskaliert werden.,This case requires escalation to the technical team.,Fokus: escalation
We always meet our service level agreements.,Wir halten unsere vereinbarten Leistungsstandards immer ein.,We always meet our service level agreements.,Fokus: service level
Our goal is to reduce the average resolution time.,Unser Ziel ist es die durchschnittliche Lösungszeit zu reduzieren.,Our goal is to reduce the average resolution time.,Fokus: resolution time
Customer satisfaction has improved significantly this month.,Die Kundenzufriedenheit hat sich diesen Monat deutlich verbessert.,Customer satisfaction has improved significantly this month.,Fokus: customer satisfaction
Thank you for your feedback. We will pass it on to the team.,Danke für Ihre Rückmeldung. Wir geben sie an das Team weiter.,Thank you for your feedback. We will pass it on to the team.,Fokus: feedback
We will send you a replacement free of charge.,Wir schicken Ihnen kostenlos Ersatz.,We will send you a replacement free of charge.,Fokus: replacement
According to our policy this item cannot be returned.,Gemäß unserer Richtlinie kann dieser Artikel nicht zurückgegeben werden.,According to our policy this item cannot be returned.,Fokus: policy
Please accept our apology for the inconvenience.,Bitte entschuldigen Sie die Unannehmlichkeiten.,Please accept our apology for the inconvenience.,Fokus: apology
Your service request has been logged successfully.,Ihre Kundenanfrage wurde erfolgreich erfasst.,Your service request has been logged successfully.,Fokus: service request
We are working on resolving the issue as quickly as possible.,Wir arbeiten daran das Problem so schnell wie möglich zu lösen.,We are working on resolving the issue as quickly as possible.,Fokus: issue
Please include your case number in all correspondence.,Bitte geben Sie Ihre Vorgangsnummer in jeder Korrespondenz an.,Please include your case number in all correspondence.,Fokus: case number
The agent will contact you shortly.,Der Kundendienstmitarbeiter wird Sie in Kürze kontaktieren.,The agent will contact you shortly.,Fokus: agent
Our support team is available around the clock.,Unser Kundendienstteam ist rund um die Uhr erreichbar.,Our support team is available around the clock.,Fokus: support team
We are committed to improving our service quality.,Wir verpflichten uns die Qualität unserer Kundenbetreuung zu verbessern.,We are committed to improving our service quality.,Fokus: service quality
We aim to reduce our first response time to under one hour.,Wir wollen unsere erste Antwortzeit auf unter eine Stunde senken.,We aim to reduce our first response time to under one hour.,Fokus: first response time
This ticket has been marked with the highest priority level.,Diese Anfrage wurde mit der höchsten Prioritätsstufe markiert.,This ticket has been marked with the highest priority level.,Fokus: priority level
Your request is currently in the queue.,Ihre Anfrage befindet sich aktuell in der Warteschlange.,Your request is currently in the queue.,Fokus: queue
