englisch,deutsch,beispiel,notizen
aktuell,currently,"Viele verwechseln es mit „actually“, das aber „eigentlich“ bedeutet.",
eventuell,possibly,"Manchmal irrtümlich mit „eventually“ übersetzt, das „schließlich“ heißt.",
sensibel,sensitive,"Oft verwechselt mit „sensible“, das „vernünftig“ bedeutet.",
werden,become,"„Bekommen“ heißt im Englischen nicht „become“, sondern „get“ oder „receive“.",
kontrollieren,check,"Häufig falsch als „control“ verwendet, das „steuern“ bedeutet.",
realisieren,implement,"„Realize“ bedeutet „erkennen“, nicht „umsetzen“.",
Chef,boss,"„Chief“ ist ein Titel wie „Chief Executive Officer“, kein allgemeiner Vorgesetzter.",
Handy,mobile phone,"„Handy“ existiert im Englischen, bedeutet dort aber „praktisch“.",
protokollieren,record,"Oft mit „protocol“ verwechselt, das ein Regelwerk oder technischer Standard ist.",
konsequent,consistent,"„Consequent“ existiert, bedeutet aber „folgend“ oder „aus etwas resultierend“.",
sympathisch,likeable,"„Sympathetic“ bedeutet „mitfühlend“, nicht „sympathisch“.",
seriös,reliable,"„Serious“ heißt „ernst“, nicht „vertrauenswürdig“.",
spenden,donate,"„Spend“ heißt „ausgeben“, nicht „spenden“.",
Karte,map,"„Card“ ist eine Spiel- oder Kreditkarte, keine Landkarte.",
Gymnasium,high school,"„Gym“ ist ein Fitnessstudio, kein Schultyp.",
Halle,warehouse,"„Hall“ ist ein Saal oder Foyer, nicht zwingend eine Lagerhalle.",
später,later,"„Eventually“ heißt „letztendlich“, nicht „später“.",
Termin,appointment,"Oft falsch mit „terminus“ übersetzt, das „Endstation“ bedeutet.",
Bewerbung,application,"„Advertisement“ bedeutet Werbung, nicht Bewerbung.",
(Rabatt-)Aktion,promotion,"„Action“ bedeutet Handlung, nicht Marketingaktion.",
Kontrolle,inspection,„Control“ bedeutet Steuerung. Für Prüfungen nutzt man „inspection“ oder „check“.,
Chefetage,management,„Etage“ ist Stockwerk. Im Englischen nutzt man „management“ oder „executive level“.,
Kritik,criticism,"„Critique“ ist eine schriftliche Analyse, nicht allgemeine Kritik.",
Notiz,note,„Note“ ist Notiz oder Hinweis. Schulnote heißt „grade“ oder „mark“.,
praktisch,convenient,"„Practical“ bedeutet sinnvoll oder anwendbar, nicht „bequem“.",
sparen,save,"Oft mit „store“ verwechselt, das „lagern“ oder „speichern“ bedeutet.",
Abteilung,department,"„Division“ ist ein Großbereich, nicht eine typische Abteilung.",
Position,job title,„Position“ ist allgemein. Für Stellenbezeichnungen → „job title“ oder „role“.,
Ressort,department,„Resort“ bedeutet Ferienanlage.,
Kaution,deposit,„Caution“ bedeutet Vorsicht.,
Lektorat,editing,"„Lecture“ ist eine Vorlesung, nicht Textbearbeitung.",
Bilanz,balance sheet,„Balance“ heißt Gleichgewicht. Für Unternehmensbilanz nutzt man „balance sheet“.,
Akademie,training center,"„Academy“ wirkt pompös im Unternehmenskontext, ist aber nicht falsch.",
Information,piece of information,"„Information“ ist unzählbar, daher „a piece of information“.",
Sympathie,liking,"„Sympathy“ bedeutet Mitgefühl, nicht Sympathie.",
Kollege,colleague,"Oft fälschlich als „collage“ geschrieben, was Bildmontage bedeutet.",
Fabrik,factory,„Fabric“ bedeutet Stoff oder Gewebe.,
Chefsekretär,executive assistant,"„Secretary“ klingt veraltet, besonders auf Führungsebene.",
Terminplan,schedule,"„Agenda“ ist Tagesordnung, nicht Zeitplan.",
Protokoll,minutes,„Protocol“ ist Regelwerk. Sitzungsprotokoll heißt „minutes“.,
Chance,opportunity,„Chance“ bedeutet Zufall oder Wahrscheinlichkeit.,
Provision,commission,"„Provision“ heißt Bereitstellung oder Rückstellung, nicht Verkaufsprovision.",
präservativ,condom,„Preservative“ ist ein Konservierungsstoff.,
Chefzimmer,executive office,„Chief’s room“ wird nicht verwendet.,
Chefkoch,head chef,„Chief cook“ ist ein Schiffskoch.,
