englisch,deutsch,beispiel,notizen
contract,Vertrag,We signed the contract this morning.,
clause,Klausel,This clause defines the responsibilities of each party.,
terms,Bedingungen,Please read the terms carefully before agreeing.,
liability,Haftung,The company accepts no liability for damages.,
GDPR,Datenschutzgrundverordnung,We must ensure full GDPR compliance.,
consent,Einwilligung,We need your consent to process this data.,
IP,geistiges Eigentum,The IP created during the project belongs to the company.,
compliance,Einhaltung von Vorschriften,Compliance is mandatory in all departments.,
regulation,Regelung,The new regulation affects how we store user data.,
disclosure,Offenlegung,Full disclosure is required before approval.,
confidentiality,Vertraulichkeit,Confidentiality must be maintained at all times.,
non-disclosure agreement,Geheimhaltungsvereinbarung,Please sign the non-disclosure agreement before we proceed.,
breach,Verstoß,A breach of contract may lead to legal consequences.,
governing law,anzuwendendes Recht,The governing law of this agreement is German law.,
jurisdiction,Zuständigkeit,The jurisdiction for disputes is Berlin.,
obligation,Verpflichtung,We have a legal obligation to protect customer data.,
termination,Kündigung,The contract allows termination with thirty days’ notice.,
penalty,Strafe,There is a penalty for late delivery.,
risk assessment,Risikobewertung,A risk assessment is required for all new vendors.,
due diligence,Sorgfaltsprüfung,Investors are completing their due diligence this week.,
data retention,Datenaufbewahrung,Data retention rules require us to store records for five years.,
privacy policy,Datenschutzrichtlinie,The privacy policy explains how we handle personal information.,
audit,Prüfung,An external audit will be conducted next month.,
fraud,Betrug,The system is designed to detect and prevent fraud.,
