englisch,deutsch,beispiel,notizen
Deadline,Frist,The deadline for this task is Friday.,
Task,Aufgabe,This task needs to be finished today.,
Goal,Ziel,Our goal is to improve customer satisfaction.,
Project,Projekt,The project starts next Monday.,
Client,Kunde,The client requested a few changes.,
Budget,Budget,We need to stay within the budget.,
Feedback,Rückmeldung,Thanks for your feedback on the presentation.,
Report,Bericht,I will send you the report later today.,
Summary,Zusammenfassung,Here’s a quick summary of our discussion.,
Progress,Fortschritt,We’ve made good progress this week.,
Issue,Problem,There is an issue we need to address.,
Update,Neues,Do you have an update on this task?,
Meeting,Meeting,The meeting starts at 10.,
Schedule,Zeitplan,Let’s review the schedule for next week.,
Agenda,Tagesordnung,I’ve added your point to the agenda.,
Deliverable,Ergebnis,We need to finish this deliverable by Thursday.,
Stakeholder,Interessengruppe,All stakeholders will be informed tomorrow.,
Alignment,Abstimmung,We need alignment before moving forward.,
Clarification,Klarstellung,Thanks for the clarification.,
Recap,Zusammenfassung,Let me give you a quick recap.,
Decision,Entscheidung,We need a final decision today.,
Responsibility,Verantwortung,Who will take responsibility for this?,
Teamwork,Teamarbeit,Good teamwork made this possible.,
Efficiency,Effizienz,We should improve our efficiency here.,
Deadline pressure,Termindruck,There’s some deadline pressure on this task.,
Follow-up,Nachbereitung,I’ll prepare a follow-up email.,
Action point,To-do,This is the first action point for today.,
Milestone,Meilenstein,We reached an important milestone.,
Outcome,Ergebnis,The outcome was better than expected.,
