englisch,deutsch,beispiel,notizen
Clarity beats vocabulary.,Klarheit schlägt Wortschatz.,"Wenn man Lernenden sagt, dass einfache Sprache bessere Ergebnisse bringt.",
"Progress, not perfection.",Fortschritt statt Perfektion.,Wenn jemand zu streng mit sich ist und lieber konstant üben soll.,
Every call is practice.,Jedes Gespräch ist Übung.,Wenn man Hemmungen vor Gesprächen abbauen will.,
Small steps add up.,Kleine Schritte summieren sich.,"Wenn Fortschritte langsam wirken, aber langfristig stark sind.",
Confidence comes from doing.,Selbstvertrauen entsteht durchs Tun.,Wenn jemand mehr Übung statt Theorie braucht.,
Mistakes are data.,Fehler sind Informationen.,Wenn man Fehler als Lernwerkzeug statt als Problem sehen möchte.,
Keep moving forward.,Bleib in Bewegung.,Wenn Motivation fehlt und ein kleiner Schritt reicht.,
You’re better than yesterday.,Du bist besser als gestern.,Wenn jemand seinen Fortschritt nicht wahrnimmt.,
Consistency wins.,Dranbleiben gewinnt.,Wenn regelmäßige Praxis wichtiger ist als Intensität.,
Your voice gets stronger each time.,Deine Stimme wird jedes Mal stärker.,Wenn jemand Selbstzweifel beim Sprechen hat.,
Practice beats theory.,Übung schlägt Theorie.,Wenn jemand zu lange plant statt zu sprechen.,
One minute is enough to start.,Eine Minute reicht zum Starten.,Wenn der Anfang schwerfällt und Überwindung braucht.,
Done is better than planned.,Erledigt ist besser als perfekt geplant.,Wenn jemand zu perfektionistisch ist.,
Your words don’t need to be perfect.,Deine Worte müssen nicht perfekt sein.,Wenn Angst vor Fehlern blockiert.,
Repetition creates confidence.,Wiederholung schafft Sicherheit.,Wenn man regelmäßig dieselben Phrasen üben soll.,
"Keep it simple, keep it spoken.","Halte es einfach, halte es gesprochen.",Wenn man unnötig komplex spricht.,
Growth hides in discomfort.,Wachstum steckt im Unbehagen.,Wenn jemand Angst vor schwierigen Situationen hat.,
"You learn while speaking, not before.","Du lernst beim Sprechen, nicht davor.",Wenn theoretisches Lernen in Aktion übergehen soll.,
"Show up today, even for two minutes.","Erscheine heute, auch nur für zwei Minuten.",Wenn tägliche Routine aufgebaut werden soll.,
One sentence a day is enough.,Ein Satz pro Tag reicht.,Wenn jemand sehr wenig Zeit hat und trotzdem üben soll.,
