roh,dank,bitte,frage,perspektive,kontext
"Send me the report","Thanks for sending me the report","Could you please send me the report?","Would it be possible to get the report?","From my side, I'd need the report","Anfrage an Kollegen"
"We need to discuss this","Thanks for making time to discuss this","Could we please discuss this?","Would it make sense to discuss this?","From my perspective, we should discuss this","Meeting einleiten"
"This won't work","Thanks for the input, but this approach won't work","Could we please reconsider this approach?","Would it be possible to explore alternatives?","From my side, I see some challenges with this","Feedback geben"
"The deadline is too tight","Thanks for the heads-up on the timeline","Could we please revisit the deadline?","Would it be feasible to extend the deadline?","From my perspective, the timeline feels tight","Deadline diskutieren"
"I disagree","Thanks for sharing your view","Could we please explore other options?","Would you be open to considering alternatives?","From my side, I see it differently","Meinungsverschiedenheit"
"This is wrong","Thanks for catching this","Could you please double-check this?","Would it make sense to review this again?","From my perspective, this needs adjustment","Fehler ansprechen"
"Change the design","Thanks for the draft","Could you please adjust the design?","Would it be possible to modify the design?","From my side, I'd suggest some design changes","Design-Feedback"
"The budget is too high","Thanks for the detailed breakdown","Could we please optimize the budget?","Would there be room to reduce costs?","From my perspective, we need to stay within budget","Budget besprechen"
"I need more time","Thanks for understanding","Could I please have a bit more time?","Would it be possible to extend the deadline?","From my side, I'd need additional time","Deadline-Verlängerung"
"That's not my job","Thanks for thinking of me","Could we please clarify responsibilities?","Would it make sense to check who owns this?","From my perspective, this falls outside my scope","Zuständigkeit klären"
"You're late","Thanks for joining","Could we please start on time next time?","Would it be possible to stick to the schedule?","From my side, punctuality helps us stay efficient","Verspätung ansprechen"
"This email is unclear","Thanks for the update","Could you please clarify a few points?","Would it be possible to provide more details?","From my side, I'd need some additional context","Rückfrage stellen"
