englisch,deutsch,beispiel,notizen
I am agree,I agree,"Agree wird im Englischen wie ein normales Verb benutzt und braucht kein am, weil es keine Zustandsbeschreibung ist.",
Since two years,For two years,"Englisch unterscheidet streng zwischen Zeitpunkt und Zeitraum. Since ststeht an einem Punkt auf der Zeitlinie, for begleitet eine Dauer.",
He talk,He talks,"Die dritte Person Singular bekommt im Englischen ein s, weil die Sprache hier eine besondere Verbform markiert.",
I become a coffee,I get a coffee,"Become beschreibt eine Veränderung. Für bekommen nutzt man get, weil es um Erhalt geht, nicht um Wandlung.",
I am here since Monday,I have been here since Monday,"Since verbindet man im Englischen mit dem Present Perfect, weil es eine Brücke von der Vergangenheit in die Gegenwart zieht.",
I make my homework,I do my homework,"Do beschreibt Aufgaben und Routinen. Make nutzt man eher für Dinge, die man erschafft.",
We see us tomorrow,See you tomorrow,See you ist eine feste Wendung und braucht kein Reflexivpronomen.,
I look forward to see you,I look forward to seeing you,"Nach look forward to folgt immer eine ing Form, weil eine Handlung als Idee ausgedrückt wird.",
I have understand,I have understood,Nach have kommt die dritte Verbform. Das gilt besonders bei unregelmäßigen Verben.,
Let’s discuss about it,Let’s discuss it,Discuss bringt sein Objekt bereits mit. Deshalb braucht es kein about.,
We are too much people,We are too many people,People ist zählbar. Deshalb verwendet man many und nicht much.,
He is since two years here,He has been here for two years,"Das Present Perfect zeigt einen Zustand, der in der Vergangenheit begann und jetzt noch gilt.",
I go in the meeting,I go to the meeting,"Bewegungen verwenden im Englischen fast immer to, weil sie ein Ziel markieren.",
I am working since two years,I have been working for two years,Fortdauernde Handlungen erscheinen im Englischen gern als Prozess. Deshalb die -ing Form.,
The most people,Most people,Most people ist eine allgemeine Aussage und braucht keinen Artikel.,
I am in home,I am at home,At home beschreibt einen Zustand und ist eine feste Wendung.,
We see tomorrow,We will see each other tomorrow,Das will zeigt eine bewusste Markierung der Zukunft. Each other macht die Handlung gegenseitig.,
I have a good connection with her,I get along well with her,"Get along beschreibt Beziehungen natürlicher als connection, das technisch wirkt.",
Can you borrow me,Can you lend me,Borrow ist nehmen. Lend ist geben. Deshalb ist lend me korrekt.,
He explained me the problem,He explained the problem to me,"Explain überträgt Information und braucht to, genauso wie give oder send.",
I am looking forward for it,I am looking forward to it,"Look forward to ist eine feste Einheit. Daher folgt ein to, nichts anderes.",
We do a photo,We take a photo,"Take a photo ist eine feste Kollokation. Man nimmt ein Foto, man macht es nicht.",
He is more as me,He is taller than me,Than ist die Vergleichsform. As benutzt man nur bei Gleichheit.,
I didn’t knew,I didn’t know,Das did trägt die Vergangenheit. Das Vollverb bleibt in der Grundform.,
We are five persons,There are five people,People ist die normale Mehrzahlform und wirkt viel natürlicher als persons.,
I am since yesterday tired,I have been tired since yesterday,"Seit ein Zustand begonnen hat, läuft er in die Gegenwart. Das zeigt das Present Perfect.",
We must to finish this,We must finish this,"Must steht ohne to, weil es wie ein Hilfsverb funktioniert.",
I have visit London,I have visited London,Das Partizip visited beschreibt die abgeschlossene Erfahrung.,
She told that,She said that,"Say drückt aus, was gesagt wurde. Tell braucht eine Person, der man etwas erzählt.",
I am interesting in marketing,I am interested in marketing,Interested beschreibt den Zustand der Person. Interesting beschreibt die Sache selbst.,
It makes fun,It is fun,It is fun beschreibt die Aktivität. Make fun heißt sich lustig machen.,
He is married with a teacher,He is married to a teacher,"Nach married steht im Englischen immer to, weil es eine Zuordnung ausdrückt.",
I am a bit boring,I am a bit bored,Bored beschreibt den Zustand der Person. Boring beschreibt die Eigenschaft der Sache.,
It depends from,It depends on,Depend on ist eine feste Wendung. Das on gehört untrennbar dazu.,
We made a party,We had a party,"Have a party ist der natürliche Ausdruck. Man lässt die Party stattfinden, nicht herstellen.",
She became a baby,She had a baby,"Had a baby beschreibt das Ereignis. Become drückt eine Wandlung aus, die hier nicht passt.",
I know him good,I know him well,Well begleitet Verben. Good begleitet meistens Dinge oder Zustände.,
He told me yes,He said yes,Say beschreibt Worte. Tell beschreibt Erzählen und braucht ein Objekt.,
I am looking forward to meet you,I am looking forward to meeting you,"Nach look forward to folgt eine ing Form, weil die Handlung erst in der Zukunft liegt.",
I have 30 years,I am 30 years old,Im Englischen ist man eine bestimmte Anzahl von Jahren. Man hat sie nicht.,
I am here since three hours,I have been here for three hours,For beschreibt Zeitspannen. Since markiert den Anfangspunkt.,
He explained me it,He explained it to me,"Explain braucht immer to, weil die Information an jemanden gesendet wird.",
He is very like his father,He is very similar to his father,Similar to ist die feste Form für Vergleiche im Englischen.,
We stayed by our friends,We stayed with our friends,"Stay with nutzt man bei Personen, weil man Zeit mit ihnen verbringt.",
I wait you,I wait for you,Wait for ist die feste Wendung. Das for markiert die Erwartung.,
He is responsible for to check this,He is responsible for checking this,"Nach Präpositionen steht im Englischen kein to-Infinitiv, sondern eine ing Form.",
We are in the same opinion,We share the same opinion,Englisch drückt Zustimmung als gemeinsames Teilen aus. Deshalb share an opinion.,
I visited to London,I visited London,Visit braucht keine Präposition. Das Ziel folgt direkt.,
It costs not much,It does not cost much,Die Verneinung liegt im Hilfsverb. Das Hauptverb bleibt in der Grundform.,
I very like this,I really like this,Really verstärkt Verben. Very verstärkt Eigenschaften.,
