week,variant,index,filename,text_source,text,status
w1,us,1,audio/w1/us/w1_001.mp3,englisch,"Before we move on, one quick point.",generated
w1,us,2,audio/w1/us/w1_002.mp3,englisch,Could you clarify what you mean by ...?,generated
w1,us,3,audio/w1/us/w1_003.mp3,englisch,"From my side, the next step is ...",generated
w1,us,4,audio/w1/us/w1_004.mp3,englisch,Are we good to proceed?,generated
w1,us,5,audio/w1/us/w1_005.mp3,englisch,Just to make sure we're aligned ...,generated
w1,us,6,audio/w1/us/w1_006.mp3,englisch,Let me quickly summarize.,generated
w1,us,7,audio/w1/us/w1_007.mp3,englisch,I'll share a quick summary after the call.,generated
w1,us,8,audio/w1/us/w1_008.mp3,englisch,Could we take a closer look at ...?,generated
w1,us,9,audio/w1/us/w1_009.mp3,englisch,Are we on the same page?,generated
w1,us,10,audio/w1/us/w1_010.mp3,englisch,Let's move on to the next topic.,generated
w1,us,11,audio/w1/us/w1_011.mp3,englisch,Thanks for the update.,generated
w1,us,12,audio/w1/us/w1_012.mp3,englisch,So to recap ...,generated
w1,us,13,audio/w1/us/w1_013.mp3,englisch,From my perspective ...,generated
w1,us,14,audio/w1/us/w1_014.mp3,englisch,That works for me.,generated
w1,us,15,audio/w1/us/w1_015.mp3,englisch,Does that sound good to you?,generated
w1,us,16,audio/w1/us/w1_016.mp3,englisch,Let's align on this later today.,generated
w1,us,17,audio/w1/us/w1_017.mp3,englisch,I'll follow up tomorrow.,generated
w1,us,18,audio/w1/us/w1_018.mp3,englisch,Could you send me the latest version?,generated
w1,us,19,audio/w1/us/w1_019.mp3,englisch,Let's set up a quick call.,generated
w1,us,20,audio/w1/us/w1_020.mp3,englisch,Just to double-check ...,generated
w1,us,21,audio/w1/us/w1_021.mp3,englisch,Any objections if we continue?,generated
w1,us,22,audio/w1/us/w1_022.mp3,englisch,We're slightly behind schedule.,generated
w1,us,23,audio/w1/us/w1_023.mp3,englisch,We're on track for Friday.,generated
w1,us,24,audio/w1/us/w1_024.mp3,englisch,Let's keep it short and clear.,generated
w1,us,25,audio/w1/us/w1_025.mp3,englisch,That's a good point.,generated
w1,us,26,audio/w1/us/w1_026.mp3,englisch,Let me add something to that.,generated
