index,filename,english,status
1,w3_001.mp3,Can we lock this by Friday?,already_exists
2,w3_002.mp3,Let’s make it work.,generated
3,w3_003.mp3,I’ll circle back later today.,generated
4,w3_004.mp3,"I see your point, but …",generated
5,w3_005.mp3,Let’s take a different angle.,generated
6,w3_006.mp3,Good point — here’s what I’d add.,generated
7,w3_007.mp3,We’re making solid progress.,generated
8,w3_008.mp3,Let’s keep that momentum.,generated
9,w3_009.mp3,Let’s be real for a second.,generated
10,w3_010.mp3,Can we speed this up?,generated
11,w3_011.mp3,Let’s get straight to the point.,generated
12,w3_012.mp3,What’s the quickest way to solve this?,generated
13,w3_013.mp3,Let’s take action.,generated
14,w3_014.mp3,Let’s move fast on this.,generated
15,w3_015.mp3,Can we commit to that?,generated
16,w3_016.mp3,Let’s get everyone on board.,generated
17,w3_017.mp3,Here’s what I propose.,generated
18,w3_018.mp3,Let’s not overthink this.,generated
19,w3_019.mp3,What’s blocking us?,generated
20,w3_020.mp3,Let’s fix this today.,generated
21,w3_021.mp3,We need a clear decision.,generated
22,w3_022.mp3,What’s our biggest risk here?,generated
23,w3_023.mp3,Let’s align quickly.,generated
24,w3_024.mp3,I can take ownership of that.,generated
25,w3_025.mp3,We need to move this forward.,generated
26,w3_026.mp3,Let’s break this down.,generated
27,w3_027.mp3,Can we get a quick update?,generated
28,w3_028.mp3,That’s not a dealbreaker.,generated
29,w3_029.mp3,Let’s stay focused.,generated
30,w3_030.mp3,Let’s shift gears.,generated
31,w3_031.mp3,I’m confident we can do this.,generated
32,w3_032.mp3,Where do we stand?,generated
33,w3_033.mp3,Let’s close this today.,generated
34,w3_034.mp3,I like where this is going.,generated
35,w3_035.mp3,Let’s push this across the finish line.,generated
36,w3_036.mp3,Let’s move on this.,generated
37,w3_037.mp3,We’re in a good spot.,generated
38,w3_038.mp3,This is high priority.,generated
39,w3_039.mp3,Let’s clarify next steps.,generated
40,w3_040.mp3,Perfect — let’s go with that.,generated
41,w3_041.mp3,I’m on it.,generated
42,w3_042.mp3,Sounds good to me.,generated
43,w3_043.mp3,Let’s take the lead here.,generated
44,w3_044.mp3,What’s our timeline?,generated
45,w3_045.mp3,We need a quick decision.,generated
46,w3_046.mp3,Let’s revisit the plan.,generated
47,w3_047.mp3,Let’s escalate if needed.,generated
48,w3_048.mp3,Let’s sync later today.,generated
49,w3_049.mp3,We need clarity before moving on.,generated
