englisch,deutsch,beispiel,notizen
trial,klinische Studie,The clinical trial is entering its final phase.,
dosage,Dosierung,Please follow the recommended dosage on the label.,
treatment,Behandlung,The treatment has shown positive results.,
compliance,Therapietreue,Patient compliance is crucial for long-term success.,
patient,Patient,The patient is responding well to the medication.,
data security,Datensicherheit,Data security is essential when handling medical records.,
diagnosis,Diagnose,The diagnosis was confirmed by additional tests.,
symptom,Symptom,He reported symptoms of fatigue and dizziness.,
therapy,Therapie,The therapy will continue for another six weeks.,
prescription,Rezept,You will receive a prescription at the end of the appointment.,
medication,Medikament,This medication should be taken with food.,
side effect,Nebenwirkung,Common side effects include headaches and nausea.,
monitoring,Überwachung,Continuous monitoring is required for high-risk patients.,
clinical data,klinische Daten,The clinical data supports the effectiveness of the treatment.,
medical record,medizinische Akte,All changes are documented in the medical record.,
follow-up,Nachkontrolle,A follow-up appointment is scheduled for next month.,
procedure,medizinischer Eingriff,The procedure takes about thirty minutes.,
screening,Vorsorgeuntersuchung,The screening showed no signs of abnormalities.,
lab results,Laborergebnisse,The lab results will be available tomorrow.,
vital signs,lebenswichtige Werte,Her vital signs remain stable.,
treatment plan,Behandlungsplan,The doctor updated the treatment plan today.,
care team,Behandlungsteam,The care team will meet to discuss the patient’s progress.,
infection control,Infektionsschutz,Infection control protocols must be followed strictly.,
healthcare provider,Leistungserbringer im Gesundheitswesen,Your healthcare provider will explain the next steps.,
